sub,network,corr
sub-861456,Lateral,0.7483314773547883
sub-878877,Occipital,1.0
sub-878877,Ventral,0.8219949365267865
sub-878877,Dorsal,0.8465761492450564
sub-878877,Lateral,-0.07559289460184543
sub-899885,Occipital,1.0
sub-899885,Ventral,0.8219949365267865
sub-899885,Dorsal,0.09999999999999995
sub-899885,Lateral,-0.42426406871192845
sub-901139,Occipital,-0.30151134457776363
sub-901139,Ventral,0.9615239476408233
sub-901139,Dorsal,0.498307947770062
sub-901139,Lateral,-0.07559289460184543
sub-905147,Occipital,-0.30151134457776363
sub-905147,Ventral,0.6565321642986127
sub-905147,Dorsal,0.95
sub-905147,Lateral,-0.9899494936611666
sub-910241,Occipital,1.0
sub-910241,Ventral,0.686243566496721
sub-910241,Dorsal,0.8247216834441975
sub-910241,Lateral,-0.07559289460184543
sub-927359,Occipital,1.0
sub-927359,Ventral,0.7000000000000001
sub-927359,Dorsal,-0.10396549201255079
sub-927359,Lateral,1.0
sub-973770,Occipital,-0.30151134457776363
sub-973770,Ventral,0.5891593474125827
sub-973770,Dorsal,0.7671229716487995
sub-973770,Lateral,0.7969722925954423
